sentiment,id,date,query,username,text,clean_text,vader_score,vader_label,tb_polarity,tb_subjectivity,tb_label
Negative,2217173197,Wed Jun 17 20:29:42 PDT 2009,NO_QUERY,allyd0124,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,ewww if i work at fazolis i have to year a viser...and ugly shoes...and a pony tail...and no nail polish,-0.6705,Negative,-0.7,1.0,Negative
Positive,2052562282,Sat Jun 06 01:09:42 PDT 2009,NO_QUERY,Inyxia,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,no. its full of win and i luv it. lt3 ive been meaning to catch up to where its at now for ages. now i have.,0.3818,Positive,0.575,0.47500000000000003,Positive
Negative,1971801597,Sat May 30 07:55:49 PDT 2009,NO_QUERY,caffeinebomb,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,oft. as finished as i can be. can i relax and be on holiday now? i think ive missed the acceptable slot for lunch.,0.6908,Positive,0.0,0.0,Neutral
Positive,1967511412,Fri May 29 19:42:58 PDT 2009,NO_QUERY,snickers1015,@ItsNeet 100%.. its like getting an A for all your classes.. ,100.. its like getting an a for all your classes..,0.3612,Positive,0.0,0.0,Neutral
Positive,1835989661,Mon May 18 07:09:24 PDT 2009,NO_QUERY,mar_spain,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ","hi seb! im a spanish fan of you.im addicted to sp and i think its the best band in the world!please, come to spain early",0.7955,Positive,0.175,0.3,Positive
Positive,1974221419,Sat May 30 12:41:07 PDT 2009,NO_QUERY,mama_craft,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,home from soccer. its so hot out there today. we have retreated to the coolness of the basement.,0.0,Neutral,0.25,0.8500000000000001,Positive
Positive,1990422918,Mon Jun 01 04:49:53 PDT 2009,NO_QUERY,monadetail,i have find my someone ,i have find my someone,0.0,Neutral,0.0,0.0,Neutral
Positive,2068535310,Sun Jun 07 14:14:58 PDT 2009,NO_QUERY,FugaziPatrol,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,we are the quotfugazi patrolquot amp our motto is quotif u see a clown point em outquot please let everyone know about us,0.3182,Positive,0.0,0.0,Neutral
Positive,2001445043,Tue Jun 02 00:54:35 PDT 2009,NO_QUERY,isaytunnaa,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,it is ginormous... haha well i feel wierd talking about myy ziiiit ta ta good nightt,0.7906,Positive,0.44999999999999996,0.45000000000000007,Positive
Positive,2070601343,Sun Jun 07 17:59:14 PDT 2009,NO_QUERY,Mel_Preston,I'm obsessed with twitting  haha,im obsessed with twitting haha,0.3182,Positive,-0.15,0.65,Negative
Positive,1694881980,Mon May 04 04:28:34 PDT 2009,NO_QUERY,uexpectme2talk,One interlock down one to go ,one interlock down one to go,0.0,Neutral,-0.15555555555555556,0.2888888888888889,Negative
Negative,2232041041,Thu Jun 18 19:22:16 PDT 2009,NO_QUERY,glimmeringbethy,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ","ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity",-0.5106,Negative,-0.25,0.75,Negative
Negative,2068816061,Sun Jun 07 14:45:03 PDT 2009,NO_QUERY,RetroCringe,I miss Zack so much these days ,i miss zack so much these days,-0.1531,Negative,0.2,0.2,Positive
Negative,2051178100,Fri Jun 05 20:58:42 PDT 2009,NO_QUERY,notgoth007,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,im using an asus. forget which one at the moment since i dont have it near me.but my complaints are similar to yours.,-0.5574,Negative,0.05,0.4,Neutral
Positive,2000986359,Mon Jun 01 23:30:45 PDT 2009,NO_QUERY,LogomotiveMike,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ","oh ive got a case. i designed it. someone idiot stole it and i can prove it. if they want to play hardball,im game.",-0.1531,Negative,-0.6000000000000001,0.6000000000000001,Negative
Negative,1957625794,Fri May 29 01:05:16 PDT 2009,NO_QUERY,emmaplowman,my thumb hurts after breaking the nail.... ,my thumb hurts after breaking the nail....,-0.4767,Negative,0.0,0.0,Neutral
Positive,2001655814,Tue Jun 02 01:37:00 PDT 2009,NO_QUERY,Karen_theArtist,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs","congrats on the 4x platinum its a fantastic album, one of my favs",0.7906,Positive,0.4,0.9,Positive
Positive,1979863257,Sun May 31 04:48:37 PDT 2009,NO_QUERY,oliviaa_m,"@JosephFrost Yeahh, that would be pretty awesome. ","yeahh, that would be pretty awesome.",0.8074,Positive,0.625,1.0,Positive
Positive,1835117151,Mon May 18 05:11:04 PDT 2009,NO_QUERY,ehight,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,so i think you should work for the discovery channel bc then it would be media and sharks!,0.0,Neutral,0.0,0.0,Neutral
Negative,1557912015,Sun Apr 19 06:32:32 PDT 2009,NO_QUERY,FaeriBex,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ","home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee",-0.2411,Negative,0.17500000000000002,0.6722222222222222,Positive
Negative,2229785405,Thu Jun 18 16:12:13 PDT 2009,NO_QUERY,GiuliaNapo,@MandyyJirouxx that page doesn't exist ,that page doesnt exist,0.0,Neutral,0.0,0.0,Neutral
Negative,1965929390,Fri May 29 16:48:18 PDT 2009,NO_QUERY,kentz,fighting a cold. ,fighting a cold.,-0.3612,Negative,-0.6,1.0,Negative
Negative,2058242097,Sat Jun 06 14:32:59 PDT 2009,NO_QUERY,meimAsinglecell,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,aw im jealous! i miss home. i wish i could be home in cg right now! watching spanish tv with my gparents,-0.3578,Negative,0.17857142857142855,0.26785714285714285,Positive
Negative,2061711951,Sat Jun 06 21:26:57 PDT 2009,NO_QUERY,CaitEggers,@aleshacal my phone is dying  no charger here!,my phone is dying no charger here!,-0.3595,Negative,0.0,0.0,Neutral
Positive,1687278214,Sun May 03 08:15:50 PDT 2009,NO_QUERY,SpiderTre,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,green day new cd on the 15th and you on the 16th. woo!!,0.5696,Positive,0.006534090909090892,0.37727272727272726,Neutral
Negative,2049700845,Fri Jun 05 17:20:38 PDT 2009,NO_QUERY,helloabi,my tv always freezes while i'm watching inbetweeners ,my tv always freezes while im watching inbetweeners,-0.0258,Neutral,0.0,0.0,Neutral
Negative,1833398181,Sun May 17 23:09:44 PDT 2009,NO_QUERY,b3lt3r,@softjunebreeze Ex-factor.... Me too ,exfactor.... me too,0.0,Neutral,0.0,0.0,Neutral
